Tipo,Precio,Área,Habitaciones,Baños,Estrato,Ubicación
Apartamento,250000000,63,3,2,4,Bochalema
Apartamento,395000000,88,3,3,4,Valle Del Lili
Apartamento,215000000,80,3,2,4,Buenos Aires
Apartamento,230000000,128,3,3,4,El Limonar
Apartamento,185000000,50,2,2,4,Vipasa
Apartamento,195000000,59,2,2,4,Kachipai
Apartamento,195600502,65,2,2,4,Bochalema
Apartamento,152000000,55,3,2,4,Meléndez
Apartamento,192000000,58,3,2,4,Caney
Apartamento,172000000,48,2,1,4,Valle Del Lili
Apartamento,155000000,55,2,2,3,San Fernando Viejo
Apartamento,200500000,60,3,2,4,Valle Del Lili
Apartamento,760000000,90,3,5,4,Caney
Apartamento,300000000,73,3,2,4,El Gran Limonar
Apartamento,368000000,86,3,3,4,Unicentro
Apartamento,255000000,100,4,3,3,Prados del Norte
Apartamento,260000000,69,2,2,4,Bochalema
Apartamento,257000000,65,3,2,4,Valle Del Lili
Apartamento,390000000,84,3,2,4,Ciudad Real
Apartamento,186000000,61,3,2,4,Ciudad Los Alamos
Apartamento,179395592,56,3,2,4,Valle Del Lili
Apartamento,201000000,54,2,2,4,Bochalema
Apartamento,192000000,57,3,2,4,Valle Del Lili
Apartamento,200000000,58,3,2,4,Caldas
Apartamento,218000000,61,3,2,4,Valle Del Lili
Apartamento,306832660,71,3,2,5,La Alborada
Apartamento,154500000,50,2,2,3,Bochalema
Apartamento,225000000,56,2,2,3,La Alborada
Apartamento,218000000,61,3,2,4,Bochalema
Apartamento,201751135,60,3,2,4,La Cascada
Apartamento,201751135,60,3,2,4,La Cascada
Apartamento,265500000,65,3,2,4,Paseo de Los Almendros
Apartamento,164220000,49,2,2,3,Acopi
Apartamento,323098592,67,3,2,4,Valle Del Lili
Apartamento,167000000,48,2,2,4,Valle Del Lili
Apartamento,196000000,65,2,2,4,Valle Del Lili
Apartamento,196000000,65,2,2,4,Bochalema
Apartamento,167000000,48,2,2,4,Valle Del Lili
Apartamento,218000000,61,3,2,4,Bochalema
Apartamento,238000000,63,2,3,4,Bochalema
Apartamento,390000000,84,3,2,4,Valle Del Lili
Apartamento,164220000,49,2,2,3,Las Granjas
Apartamento,238000000,63,3,2,4,Bochalema
Apartamento,231751540,57,2,2,5,Valle Del Lili
Apartamento,231000000,61,3,2,4,Ciudadela del Río
Apartamento,218000000,61,3,2,4,Kachipai
Apartamento,194000000,58,3,2,4,San Fernando Viejo
Apartamento,148000000,55,3,2,4,Meléndez
Apartamento,257000000,65,3,2,4,Ciudadela del Río
Apartamento,219000000,56,2,2,4,Ciudad 2000
Apartamento,167000000,48,2,2,4,Ciudad Capri
Apartamento,630000000,121,3,3,5,La Flora
Apartamento,570000000,97,2,2,5,La Flora
Apartamento,430000000,107,3,3,4,Valle Del Lili
Apartamento,540000000,102,3,3,5,Menga
Apartamento,360000000,84,3,2,4,Valle Del Lili
Apartamento,405000000,84,3,2,5,Valle Del Lili
Apartamento,650000000,171,4,4,4,Normandía
Apartamento,675000000,104,3,2,5,La Flora
Apartamento,510000000,124,4,3,5,Los Cambulos
Apartamento,210000000,62,2,2,4,Valle Del Lili
Apartamento,365000000,98,3,3,4,Cuarto de Legua - Guadalupe
Apartamento,230000000,74,3,2,4,Primero de Mayo
Apartamento,385000000,86,2,3,4,Valle Del Lili
Apartamento,720000000,121,3,3,6,Santa Teresita
Apartamento,220000000,61,3,2,4,Aguacatal
Apartamento,259000000,60,2,2,4,Valle Del Lili
Apartamento,255000000,62,3,2,4,Las Delicias
Apartamento,207900000,60,3,2,4,Valle Del Lili
Apartamento,400000000,90,2,3,5,Valle Del Lili
Apartamento,233000000,61,3,2,4,Bochalema
Apartamento,400000000,175,3,2,4,San Fernando Viejo
Apartamento,326532568,79,2,2,4,Bochalema
Apartamento,250000000,91,3,2,5,El Lido
Apartamento,326532568,79,2,2,4,Bochalema
Apartamento,120000000,74,3,2,3,Calipso
Apartamento,291000000,67,2,2,5,La Flora
Apartamento,158000000,60,3,1,4,San Fernando Viejo
Apartamento,218000000,61,3,2,4,Kachipai
Apartamento,310000000,98,3,3,5,Cuarto de Legua - Guadalupe
Apartamento,370000000,86,3,2,5,La Hacienda
Apartamento,194000000,60,2,2,4,Valle Del Lili
Apartamento,295000000,66,3,2,4,San Fernando Viejo
Apartamento,285000000,86,2,2,5,Las Quintas de Don Simón
Apartamento,580000000,83,2,2,4,Chipichape
Apartamento,480000000,108,3,2,4,El Ingenio
Apartamento,580000000,133,4,3,5,Chipichape
Apartamento,630000000,118,3,3,6,Caney
Apartamento,460000000,66,2,2,5,Versalles
Apartamento,560000000,130,4,3,5,San Marino
Apartamento,470000000,86,3,3,4,Pance
Apartamento,340000000,72,3,2,5,Mayapan
Apartamento,220000000,62,2,2,4,Prados del Norte
Apartamento,220000000,62,2,2,4,Prados del Norte
Apartamento,950000,35,1,1,4,Montebello
Apartamento,415000000,82,3,2,5,Ciudad Capri
Apartamento,529000000,108,3,3,6,Menga
Apartamento,450000000,165,4,4,4,Cuarto de Legua - Guadalupe
Apartamento,550000000,97,2,2,5,La Flora
Apartamento,510000000,89,2,2,5,La Flora
Apartamento,420000000,99,3,2,5,El Ingenio
Apartamento,210000000,47,1,2,5,Cuarto de Legua - Guadalupe
Apartamento,550000000,150,4,3,4,San Fernando Viejo
Apartamento,169000000,58,3,2,3,Metropolitano del Norte
Apartamento,320000000,92,3,2,5,Cuarto de Legua - Guadalupe
Apartamento,490000000,62,1,2,6,Pance
Apartamento,1300000000,400,4,6,6,Santa Mónica
Apartamento,130000000,47,2,1,4,Ciudad Capri
Apartamento,970000000,51,4,4,6,Santa Teresita
Apartamento,530000000,116,3,3,5,Versalles
Apartamento,685000000,155,3,4,5,La Flora
Apartamento,1200000000,186,3,5,6,San Fernando Viejo
Apartamento,2600000000,600,5,6,6,San Fernando Viejo
Apartamento,1394000000,195,3,4,6,San Fernando Viejo
Apartamento,1150000000,245,3,3,6,San Fernando Viejo
Apartamento,849500000,171,3,3,6,San Fernando Viejo
Apartamento,1701487000,240,3,4,6,San Fernando Viejo
Apartamento,725000000,119,2,2,4,Arboledas
Apartamento,325000000,75,3,2,4,Valle Del Lili
Apartamento,2500000000,442,4,6,6,San Fernando Viejo
Apartamento,990000000,130,4,5,4,Pance
Apartamento,1500000000,276,4,4,6,Normandía
Apartamento,1400000000,325,4,6,6,San Fernando Viejo
