Tipo,Precio,Área,Habitaciones,Baños,Estrato
Casa,365000000,180,6,3,5
Casa,600000000,290,5,5,4
Casa,250000000,270,8,4,5
Casa,575000000,172,4,3,5
Casa,397000000,134,3,2,4
Casa,580000000,384,12,6,5
Casa,570000000,180,4,4,5
Casa,972000000,314,9,4,5
Casa,588000000,190,7,5,5
Casa,1500000000,320,9,2,5
Casa,390000000,154,6,2,5
Casa,1500000000,580,8,7,5
Casa,285000000,93,4,2,4
Casa,450000000,225,7,4,5
Casa,390000000,450,8,5,5
Casa,620000000,270,6,5,5
Casa,530000000,270,5,4,5
Casa,850000000,370,5,5,5
Casa,910000000,280,5,5,5
Casa,1300000000,300,5,4,5
Casa,1900000000,290,5,7,5
Casa,650000000,400,5,5,5
Casa,600000000,200,3,3,5
Casa,750000000,246,4,5,5
Casa,960000000,330,5,4,5
Casa,750000000,215,4,5,5
Casa,420000000,251,4,4,5
Casa,550000000,360,5,4,5
Casa,450000000,148,8,8,5
Casa,460000000,130,3,3,4
Casa,415000000,144,3,3,5
Casa,550000000,270,4,4,4
Casa,589000000,310,5,3,5
Casa,215000000,100,4,2,4
Casa,420000000,317,9,3,5
Casa,549000000,250,4,3,4
Casa,550000000,392,9,6,4
Casa,520000000,180,4,3,5
Casa,379000000,147,3,2,4
Casa,500000000,131,4,3,5
Casa,370000000,127,5,4,4
Casa,315000000,90,5,3,5
Casa,495000000,230,4,3,5
Casa,599000000,217,11,5,5
Casa,970000000,575,5,10,5
Casa,332794501,73,3,3,4
Casa,395000000,76,3,1,4
Casa,640000000,185,4,3,6
Casa,420000000,128,3,3,5
Casa,1800000000,316,3,5,5
Casa,430000000,90,3,3,5
Casa,370000000,110,5,4,5
Casa,770000000,142,4,3,5
Casa,570000000,332,7,2,5
Casa,1399999900,350,4,4,5
Casa,1250000000,300,4,6,5
Casa,520000000,107,3,3,4
Casa,860000000,336,4,5,5
Casa,350000000,83,7,2,5
Casa,595000000,200,5,5,5
Casa,1280000000,233,5,5,6
Casa,470000000,180,4,4,5
Casa,1100000000,570,5,5,6
Casa,1300000000,246,4,4,5
Casa,560000000,266,8,4,4
Casa,850000000,240,4,5,5
Casa,390000000,100,4,3,4
Casa,545000000,240,4,3,5
Casa,660000000,208,3,3,5
Casa,420000000,120,3,3,5
Casa,500000000,180,4,4,5
Casa,1100000000,345,3,3,5
Casa,400000000,83,3,2,4
Casa,250000000,80,2,2,5
Casa,2200000000,245,4,5,6
Casa,379017943,80,3,2,6
Casa,280000000,110,2,1,5
Casa,290000000,130,3,2,5
Casa,275000000,71,3,2,6
Casa,280000000,81,2,2,4
Casa,850000000,235,4,3,5
Casa,520000000,249,6,3,4
Casa,310000000,123,3,3,5
Casa,850000000,180,3,4,4
Casa,1350000000,300,3,3,4
Casa,390000000,200,3,3,4
Casa,474000000,280,6,4,6
Casa,1730000000,251,3,3,6
Casa,780000000,240,4,4,4
