Tipo,Precio,Área,Habitaciones,Baños,Estrato,Ubicación
Apartamento,158000000,60,3,1,5,Cali
Apartamento,218000000,61,3,2,5,Kachipai
Apartamento,310000000,98,3,3,5,Cuarto De Legua
Apartamento,370000000,86,3,2,5,La Hacienda
Apartamento,194000000,60,2,2,5,Valle Del Lili
Apartamento,295000000,66,3,2,5,Cali
Apartamento,285000000,86,2,2,5,Quintas De Don Simon
Apartamento,580000000,83,2,2,4,Chipichape
Apartamento,480000000,108,3,2,5,El Ingenio
Apartamento,580000000,133,4,3,4,Chipichape
Apartamento,630000000,118,3,0,5,Pance
Apartamento,460000000,66,2,2,5,Cristales
Apartamento,560000000,130,4,3,5,Seminario
Apartamento,470000000,86,3,3,5,Parcelaciones Pance
Apartamento,340000000,72,3,2,5,Mayapan
Apartamento,220000000,62,2,2,5,Prados Del Norte
Apartamento,220000000,62,2,2,5,Prados Del Norte
Apartamento,415000000,82,3,2,5,Ciudad Jardín
Apartamento,529000000,108,3,3,6,Menga
Apartamento,450000000,165,4,4,5,Cuarto De Legua
Apartamento,550000000,97,2,2,5,La Flora
Apartamento,510000000,89,2,2,5,La Flora
Apartamento,420000000,99,3,2,5,El Ingenio
Apartamento,210000000,47,1,2,5,Cuarto De Legua
Apartamento,550000000,150,4,3,5,Cali
Apartamento,169000000,58,3,2,5,Metropolitano Del Norte
Apartamento,320000000,92,3,2,5,Cuarto De Legua
Apartamento,490000000,62,1,2,5,Parcelaciones Pance
Apartamento,1300000000,400,4,6,5,Santa Monica
Apartamento,130000000,47,2,1,5,Ciudad Pacifica
Apartamento,970000000,51,4,4,5,Cra. 2 Oe. #13 - 59
Apartamento,530000000,116,3,3,5,Cristales
Apartamento,685000000,155,3,4,5,La Flora
Apartamento,1200000000,186,3,5,5,Cali
Apartamento,2600000000,600,5,6,5,Cali
Apartamento,1394000000,195,3,4,5,Cali
Apartamento,1150000000,245,3,3,5,Cali
Apartamento,849500000,171,3,3,5,Cali
Apartamento,1701487000,240,3,4,5,Cali
Apartamento,725000000,119,2,2,5,La Arboleda
Apartamento,325000000,75,3,2,5,Valle Del Lili
Apartamento,2500000000,442,4,6,5,Cali
Apartamento,990000000,130,4,5,5,Cra. 138 #No 4 - 133
Apartamento,1500000000,276,4,4,5,Altos De Normandia
Apartamento,1400000000,325,4,6,5,Cali
Apartamento,660000000,119,4,3,5,Cl. 5 #89-35
Apartamento,2500000000,377,4,4,6,Santa Teresita
Apartamento,570000000,62,1,2,5,Juanambú
Apartamento,380000000,84,3,2,5,Valle Del Lili
Apartamento,252000000,63,3,2,5,Cl. 50 #94-32
Apartamento,2897500000,459,3,5,5,Cali
Apartamento,350000000,140,3,3,5,Camino Real
Apartamento,580000000,90,3,2,5,San Fernando
Apartamento,615525300,107,3,3,5,Cali
Apartamento,1100000000,250,3,3,6,Santa Teresita
Apartamento,148000000,54,3,1,5,Cl. 62b #1a 9-980
Apartamento,400000000,146,3,2,5,El Ingenio
Apartamento,205000000,58,2,3,5,Ciudad Pacifica
Apartamento,184000000,63,2,2,5,Cl. 49 #120-52
Apartamento,175000000,51,2,2,5,Cra. 121 A #121 A
Apartamento,1200000000,256,3,5,5,Juanambú
Apartamento,225000000,60,2,2,5,Valle Del Lili
Apartamento,170000000,46,3,1,5,Cra 98 #2a-60
Apartamento,200000000,62,3,2,5,Cra. 90 #54c50
Apartamento,260000000,60,2,2,5,Cl 60A #120-64
Apartamento,195000000,65,3,2,5,Ciudad 2000
Apartamento,330000000,83,3,2,5,La Flora
Apartamento,660000000,110,3,3,5,Bella Suiza
Apartamento,630000000,92,3,3,5,Zona Sur
Apartamento,874900000,164,3,4,5,Valle Del Lili
Apartamento,590000000,81,3,2,5,Guadalupe
Apartamento,1000000000,260,3,5,6,Santa Teresita
Apartamento,320000000,74,2,2,5,Ciudad Pacifica
Apartamento,310000000,72,2,2,5,Valle Del Lili
Apartamento,600000000,118,2,3,5,San Fernando
Apartamento,290000000,75,3,2,5,Valle Del Lili
Apartamento,310000000,68,3,2,5,La Hacienda
