Inmueble,Precio,Área total,Habitaciones,Baños,Estrato,Ubicación
Apartamento,300.000.000,84 m² cubiertos,3 habitaciones,3 baños,,"Cl. 42 #86-85, Comuna 17, Cali, Valle Del Cauca, Colombia, Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,880.000.000,161 m² cubiertos,4 habitaciones,3 baños,,"Aguacatal, Cali, Valle Del Cauca"
Apartamento,297.000.000,80 m² cubiertos,3 habitaciones,2 baños,,"Valle De Lili, Comuna 17, Cali, Valle Del Cauca, Colombia, Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,160.000.000,54 m² cubiertos,3 habitaciones,2 baños,,"Av. 2B 2 #74n-35, Acopi, Cali, Valle Del Cauca, Colombia, Cali, Valle Del Cauca"
Apartamento,290.000.000,65 m² cubiertos,3 habitaciones,2 baños,,"Av. 9a Nte., El Bosque, Cali, Valle Del Cauca, Colombia, El Bosque, Cali, Valle Del Cauca"
Apartamento,380.000.000,95 m² cubiertos,3 habitaciones,2 baños,,"Cra. 112, Cali, Valle Del Cauca, Colombia, Bochalema, Cali, Valle Del Cauca"
Apartamento,270.000.000,78 m² cubiertos,2 habitaciones,2 baños,,"CALLE 47 # 120-103, Cristóbal Colón, Cali, Valle Del Cauca"
Apartamento,240.000.000,34 m² cubiertos,1 habitación,1 baño,,"Carrera  6 #11-54, La Candelaria, Cali, Valle Del Cauca"
Apartamento,270.000.000,78 m² cubiertos,2 habitaciones,2 baños,,"Ciudad Pacifica Cali, Cristóbal Colón, Cali, Valle Del Cauca"
Apartamento,174.000.000,64 m² cubiertos,3 habitaciones,1 baño,,"El Guabal, Cali, Valle Del Cauca, Colombia, El Guabal, Cali, Valle Del Cauca"
Apartamento,1.100.000.000,278 m² cubiertos,4 habitaciones,5 baños,6,"Normandía, Cali, Valle Del Cauca"
Apartamento,345.000.000,82 m² cubiertos,3 habitaciones,2 baños,5,"Cali, Valle Del Cauca"
Apartamento,280.000.000,60 m² cubiertos,3 habitaciones,2 baños,4,"Guadalupe, Cali, Valle Del Cauca"
Apartamento,290.000.000,72 m² cubiertos,2 habitaciones,2 baños,,"Cra. 82 #6a-61, Comuna 17, Cali, Valle Del Cauca, Colombia, Las Vegas, Cali, Valle Del Cauca"
Apartamento,490.000.000,107 m² cubiertos,3 habitaciones,4 baños,5,"Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,330.000.000,80 m² cubiertos,3 habitaciones,2 baños,,"Jamundí, Valle Del Cauca, Colombia, El Castillo, Cali, Valle Del Cauca"
Apartamento,530.000.000,112 m² cubiertos,3 habitaciones,3 baños,,"Cra. 37 #1 Oeste-45, La Chacra, Cali, Valle Del Cauca, Colombia, Cristales, Cali, Valle Del Cauca"
Apartamento,248.000.000,65 m² cubiertos,3 habitaciones,2 baños,,"Cra. 98 #48-38, Cali, Valle Del Cauca, Colombia, Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,320.000.000,65 m² cubiertos,4 habitaciones,3 baños,,"Cra. 85 #11 74, Las Vegas, Cali, Valle Del Cauca, Colombia, Multicentro, Cali, Valle Del Cauca"
Apartamento,298.000.000,143 m² cubiertos,4 habitaciones,2 baños,,"Cra. 56 #9-60 Bloque I Apto 404, Pampa Linda, Cali, Valle Del Cauca, Colombia, Olímpico, Cali, Valle Del Cauca"
Apartamento,325.000.000,101 m² cubiertos,3 habitaciones,3 baños,,"Cuarto De Legua, Cali, Valle Del Cauca, Colombia, Cali, Valle Del Cauca"
Apartamento,320.000.000,122 m² cubiertos,3 habitaciones,3 baños,,"Cra. 72 #10 Bis-21, Comuna 17, Cali, Valle Del Cauca, Colombia, Capri, Cali, Valle Del Cauca"
Apartamento,190.000.000,77 m² cubiertos,3 habitaciones,2 baños,,"Cl. 61 Nte. #3b Norte-1 2g, El Rincon, Cali, Valle Del Cauca, Colombia, Alamos, Cali, Valle Del Cauca"
Apartamento,290.000.000,70 m² cubiertos,3 habitaciones,2 baños,,"Cra. 92 #45112, Cali, Valle Del Cauca, Colombia, Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,500.000.000,139 m² cubiertos,4 habitaciones,3 baños,,"CARRERA 85C 13A-120, El Ingenio, Cali, Valle Del Cauca"
Apartamento,235.000.000,62 m² cubiertos,2 habitaciones,2 baños,,"Vegas De Confamdi, Cra. 90 #54C-65, Cali, Valle Del Cauca, Colombia, Cali, Valle Del Cauca"
Apartamento,410.000.000,90 m² cubiertos,3 habitaciones,3 baños,,"Valle De Lili, Comuna 17, Cali, Valle Del Cauca, Colombia, Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,400.000.000,72 m² cubiertos,3 habitaciones,2 baños,,"Cra. 54 #1a-60, Cuarto De Legua, Cali, Valle Del Cauca, Colombia, Cali, Valle Del Cauca"
Apartamento,290.000.000,75 m² cubiertos,3 habitaciones,2 baños,,"Cl. 28 #96-34, Cali, Valle Del Cauca, Colombia, Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,345.000.000,83 m² cubiertos,4 habitaciones,2 baños,,"Cl. 28 #96-34, Cali, Valle Del Cauca, Colombia, Valle Del Lili, Cali, Valle Del Cauca"
