Tipo,Precio,Área,Habitaciones,Baños,Estrato,Ubicación
Casa,1250000000,245,4,3,5,Dapa Yumbo Colombia Dapa
Casa,750000000,220,3,3,4,El Limonar
Casa,1450000000,341,7,6,5,Cl Barrio Pance Colombia Pance
Casa,490000000,500,9,4,5,Carrera D Floralia
Casa,500000000,255,6,4,5,La Base Comuna Colombia
Casa,2900000000,808,17,6,5,Cra Bogot Colombia La Candelaria
Casa,965000000,367,5,5,5,Lago De La Babilla Ciudad Jard n Colombia Ciudad Jard n
Casa,448000000,142,3,3,5,Valle Del Lili
Casa,440000000,112,4,4,5,Avenida Montana Jamund Colombia Jamund
Casa,450000000,91,3,3,5,Valle Del Lili
Casa,2300000000,457,5,5,5,Ciudad Jard n Colombia Ciudad Jard n
Casa,345000000,122,4,2,5,Transversal B De Julio
Casa,1700000000,300,4,5,5,Ca asgordas Colombia Pance
Casa,3000000000,960,13,12,5,La Voragine Colombia Pance
Casa,1900000000,260,3,3,3,San Fernando
Casa,680000000,155,3,3,4,Cuidad
Casa,570000000,135,4,4,5,Las Vegas Colombia Las Vegas
Casa,182000000,195,8,3,5,Cra f
Casa,1850000000,600,5,6,5,Pance
Casa,2100000000,270,3,4,5,HF CP Yumbo Arroyo Hondo Yumbo Colombia Yumbo
Casa,1500000000,150,6,5,5,Cra b El Ingenio Colombia El Ingenio
Casa,850000000,137,15,15,5,CARRERA G BIS
Casa,2200000000,480,5,5,5,Cl Barrio Pance Colombia Pance
Casa,1400000000,250,6,4,4,La Morada
Casa,650000000,480,4,3,5,CALLE B D Santa Elena
Casa,800000000,576,8,7,5,San Vicente
Casa,669999900,367,6,3,3,San Fernando
Casa,1230000000,760,4,3,5,Cra g b Nte Centro Historico Barranquilla Atl ntico Colombia Ciudad Jard n
Casa,550000000,315,4,4,5,Cl a Colombia Ciudad
Casa,2500000000,150,4,2,5,Pance
Casa,1800000000,120,3,1,5,Carrera b
Casa,390000000,220,3,2,5,Avenida I No La Merced
Casa,275000000,76,3,3,5,Villa Del Sol Villa Del Sol
Casa,430000000,180,5,1,5,Cra k Los Andes Colombia Paseo De Los Almendros
Casa,280000000,123,5,1,5,Cl a Colombia
Casa,350000000,170,6,2,5,Calle F Santa M nica Popular
Casa,830000000,370,4,4,5,Av Norte B Versalles
Casa,1650000000,280,4,5,5,Pance
Casa,730000000,256,4,4,5,Prados Del Norte
Casa,1530000000,321,4,5,5,COMUNA Colombia Yumbo
Casa,750000000,340,4,5,5,Tequendama
Casa,800000000,320,14,5,5,Cl San Nicolas Colombia Versalles
Casa,540000000,256,4,2,5,Cra a Colombia El Lido
Casa,4800000000,640,5,7,5,Cl a La Finca Colombia Pance
Casa,480000000,100,3,3,4,Cuidad
Casa,320000000,158,4,1,5,Cra b Colombia
Casa,119000000,300,3,3,5,CRA g Manuela Beltr n
Casa,280000000,125,4,2,5,CRA Morichal De Comfandi
Casa,1700000000,270,5,6,5,KM Via A Dapa Yumbo Colombia Yumbo
Casa,470000000,400,7,5,5,Cra d Comuna Colombia
Casa,780000000,150,4,3,5,Ciudadela Pasoancho
Casa,279000000,153,4,1,5,CARRERA B C Sindical
Casa,389900000,230,9,6,5,San Luis Colombia San Lu s
Casa,1850000000,822,6,6,5,Pance Colombia Pance
Casa,250000000,112,4,2,3,pso
Casa,259900000,100,3,3,5,Calle A n Los Guaduales
Casa,2200000000,377,3,3,5,Dapa Yumbo Colombia Yumbo
Casa,2200000000,500,3,2,6,Pance
Casa,345000000,225,9,3,5,Ciudad Cordoba Colombia Ciudad C rdoba
Casa,370000000,149,5,2,5,Cl c b Cristobal Colon Colombia El Dorado
Casa,494000000,124,4,4,5,Carrera Ciudad
