Tipo,Precio,Área,Habitaciones,Baños,Estrato
Apartamento,267000000,64,2,2,4
Apartamento,307482712,66,2,2,4
Apartamento,290000000,54,2,2,5
Apartamento,290000000,56,2,2,4
Apartamento,235000000,60,3,1,6
Apartamento,343500000,65,3,2,4
Apartamento,290000000,64,3,2,5
Apartamento,380000000,77,2,2,4
Apartamento,300000000,60,2,2,5
Apartamento,388703805,65,3,2,5
Apartamento,350000000,62,3,2,4
Apartamento,395000000,93,3,3,5
Apartamento,265000000,70,2,2,5
Apartamento,250000000,51,3,2,4
Apartamento,260000000,69,3,2,4
Apartamento,370000000,84,3,3,4
Apartamento,880000000,161,4,3,4
Apartamento,367000000,80,3,2,4
Apartamento,230000000,54,3,2,4
Apartamento,420000000,75,3,2,5
Apartamento,380000000,95,3,2,4
Apartamento,340000000,78,2,2,4
Apartamento,310000000,34,1,1,4
Apartamento,340000000,78,2,2,4
Apartamento,244000000,64,3,1,4
Apartamento,415000000,82,3,2,5
Apartamento,350000000,60,3,2,4
Apartamento,360000000,72,2,2,4
Apartamento,490000000,107,3,4,5
Apartamento,400000000,80,3,2,4
Apartamento,530000000,112,3,3,4
Apartamento,318000000,65,3,2,4
Apartamento,390000000,65,4,3,4
Apartamento,368000000,143,4,2,4
Apartamento,395000000,101,3,3,5
Apartamento,390000000,122,3,3,4
Apartamento,260000000,77,3,2,4
Apartamento,360000000,70,3,2,4
Apartamento,500000000,139,4,3,5
Apartamento,325000000,62,2,2,4
Apartamento,410000000,90,3,3,4
Apartamento,400000000,72,3,2,5
Apartamento,360000000,75,3,2,4
Apartamento,415000000,83,4,2,4
Apartamento,275000000,60,3,2,5
Apartamento,420000000,112,4,2,5
Apartamento,395000000,160,4,4,5
Apartamento,410000000,109,4,3,4
Apartamento,420000000,94,3,2,5
Apartamento,324000000,65,3,2,5
Apartamento,295000000,53,2,2,5
Apartamento,289000000,62,3,2,5
Apartamento,530000000,142,4,4,4
Apartamento,670000000,110,3,2,6
Apartamento,380000000,88,3,2,4
Apartamento,385000000,75,3,2,6
Apartamento,400000000,100,3,2,5
Apartamento,250000000,80,3,2,5
Apartamento,360000000,70,2,2,5
Apartamento,300000000,62,3,2,4
Apartamento,275000000,33,1,1,5
Apartamento,295000000,56,2,2,5
Apartamento,240000000,65,3,1,6
Apartamento,255000000,62,3,2,5
Apartamento,237000000,48,2,2,4
Apartamento,570000000,110,3,2,6
Apartamento,259000000,61,3,2,4
Apartamento,535000000,199,3,3,4
Apartamento,280000000,60,2,2,5
Apartamento,570000000,165,3,3,6
Apartamento,500000000,89,2,3,5
Apartamento,485000000,107,3,3,4
Apartamento,320000000,63,3,2,5
Apartamento,395000000,88,3,3,4
Apartamento,285000000,80,3,2,5
Apartamento,300000000,128,3,3,5
Apartamento,255000000,50,2,2,5
Apartamento,265000000,59,2,2,4
Apartamento,265600502,65,2,2,5
Apartamento,222000000,55,3,2,4
Apartamento,262000000,58,3,2,5
Apartamento,242000000,48,2,1,5
Apartamento,225000000,55,2,2,4
Apartamento,270500000,60,3,2,5
Apartamento,370000000,73,3,2,5
Apartamento,368000000,86,3,3,5
Apartamento,325000000,100,4,3,4
Apartamento,330000000,69,2,2,5
Apartamento,327000000,65,3,2,4
Apartamento,390000000,84,3,2,5
Apartamento,256000000,61,3,2,5
Apartamento,249395592,56,3,2,6
Apartamento,271000000,54,2,2,6
Apartamento,262000000,57,3,2,4
Apartamento,270000000,58,3,2,6
Apartamento,288000000,61,3,2,5
Apartamento,376832660,71,3,2,5
Apartamento,224500000,50,2,2,5
Apartamento,295000000,56,2,2,5
Apartamento,288000000,61,3,2,4
Apartamento,271751135,60,3,2,4
Apartamento,271751135,60,3,2,5
Apartamento,335500000,65,3,2,5
Apartamento,234220000,49,2,2,4
Apartamento,393098592,67,3,2,6
Apartamento,237000000,48,2,2,4
Apartamento,266000000,65,2,2,4
Apartamento,266000000,65,2,2,4
Apartamento,237000000,48,2,2,5
Apartamento,288000000,61,3,2,6
Apartamento,308000000,63,2,3,5
Apartamento,390000000,84,3,2,6
Apartamento,234220000,49,2,2,5
Apartamento,308000000,63,3,2,4
Apartamento,301751540,57,2,2,5
Apartamento,301000000,61,3,2,6
Apartamento,288000000,61,3,2,4
Apartamento,264000000,58,3,2,4
Apartamento,218000000,55,3,2,4
Apartamento,327000000,65,3,2,6
Apartamento,289000000,56,2,2,4
Apartamento,237000000,48,2,2,5
Apartamento,630000000,121,3,3,5
Apartamento,570000000,97,2,2,5
Apartamento,430000000,107,3,3,5
Apartamento,540000000,102,3,3,4
Apartamento,360000000,84,3,2,4
Apartamento,405000000,84,3,2,5
Apartamento,650000000,171,4,4,4
Apartamento,675000000,104,3,2,5
Apartamento,510000000,124,4,3,6
Apartamento,280000000,62,2,2,4
