Tipo,Precio,Área,Habitaciones,Baños,Estrato,Ubicación
Apartamento,480000000,133,4,3,4,Chipichape
Apartamento,430000000,118,3,3,4,Caney
Apartamento,460000000,66,2,2,5,Versalles
Apartamento,560000000,130,4,3,5,Santa Mónica
Apartamento,470000000,86,3,3,4,San Fernando Nuevo
Apartamento,340000000,72,3,2,5,Prados del Norte
Apartamento,380000000,82,4,2,5,Prados del Norte
Apartamento,300000000,72,3,2,5,Prados del Norte
Apartamento,415000000,82,3,2,5,Ciudad Capri
Apartamento,529000000,108,3,3,6,Menga
Apartamento,450000000,165,4,4,5,Cuarto de Legua - Guadalupe
Apartamento,550000000,97,2,2,5,La Flora
Apartamento,510000000,89,2,2,5,La Flora
Apartamento,420000000,99,3,2,5,El Ingenio
Apartamento,210000000,47,1,2,5,Cuarto de Legua - Guadalupe
Apartamento,550000000,150,4,3,5,Los Cambulos
Apartamento,169000000,58,3,2,4,Urbanización La Merced
Apartamento,320000000,92,3,2,5,Cuarto de Legua - Guadalupe
Apartamento,490000000,62,1,2,6,Cañaveral
Apartamento,310000000,77,2,1,5,Ciudad Capri
Apartamento,970000000,51,4,4,6,Santa Teresita
Apartamento,530000000,116,3,3,5,Versalles
Apartamento,685000000,155,3,4,5,La Flora
Apartamento,849500000,171,3,3,5,San Fernando Viejo
Apartamento,725000000,119,2,2,6,Arboledas
Apartamento,325000000,75,3,2,4,Villa del Sol
Apartamento,990000000,130,4,5,4,Barrio Eucarístico
Apartamento,660000000,119,4,3,4,Chipichape
Apartamento,570000000,62,1,2,5,Juanambú
Apartamento,380000000,84,3,2,5,Centenario
Apartamento,252000000,63,3,2,4,Barrio Departamental
Apartamento,350000000,140,3,3,5,Juanambú
Apartamento,580000000,90,3,2,4,Los Cambulos
Apartamento,615525300,107,3,3,5,San Fernando Viejo
Apartamento,148000000,54,3,1,4,Barrio Eucarístico
Apartamento,400000000,146,3,2,5,El Ingenio
Apartamento,205000000,58,2,3,5,Ciudad Capri
Apartamento,184000000,63,2,2,4,Urbanización Colseguros
Apartamento,175000000,51,2,2,4,Urbanización La Merced
Apartamento,225000000,60,2,2,4,Barrio Departamental
Apartamento,170000000,46,3,1,4,Lili
Apartamento,200000000,62,3,2,4,Olímpico
Apartamento,260000000,60,2,2,4,Vipasa
Apartamento,195000000,65,3,2,4,Ciudad 2000
Apartamento,330000000,83,3,2,5,La Flora
Apartamento,660000000,110,3,3,4,Miraflores
Apartamento,630000000,92,3,3,6,Cañaveral
Apartamento,874900000,164,3,4,5,El Gran Limonar - Cataya
Apartamento,590000000,81,3,2,5,El Gran Limonar - Cataya
Apartamento,320000000,74,2,2,5,Ciudad Capri
Apartamento,310000000,72,2,2,5,Versalles
Apartamento,600000000,118,2,3,5,San Fernando Viejo
Apartamento,290000000,75,3,2,4,Ciudad Los Alamos
Apartamento,310000000,68,3,2,5,La Hacienda
Apartamento,185000000,52,2,2,4,Bosques del Limonar
Apartamento,197000000,64,2,2,4,Pasoancho
Apartamento,237482712,66,2,2,4,El Cedro
Apartamento,220000000,54,2,2,5,Ciudad Capri
Apartamento,220000000,56,2,2,4,Vipasa
Apartamento,165000000,60,3,1,6,Menga
Apartamento,273500000,65,3,2,4,Chipichape
Apartamento,220000000,64,3,2,5,La Hacienda
Apartamento,310000000,77,2,2,4,Primero de Mayo
Apartamento,230000000,60,2,2,5,Ciudad Capri
Apartamento,318703805,65,3,2,5,El Bosque
Apartamento,280000000,62,3,2,4,El Refugio
Apartamento,395000000,93,3,3,5,Cañaveralejo - Seguros Patria
Apartamento,195000000,70,2,2,5,Cuarto de Legua - Guadalupe
Apartamento,180000000,51,3,2,4,Granada
Apartamento,190000000,69,3,2,4,Lili
Apartamento,300000000,84,3,3,4,Caney
Apartamento,880000000,161,4,3,4,Barrio Departamental
Apartamento,297000000,80,3,2,4,Urbanización Militar
Apartamento,160000000,54,3,2,4,Olímpico
Apartamento,350000000,75,3,2,5,El Bosque
Apartamento,380000000,95,3,2,4,Ciudad Los Alamos
Apartamento,270000000,78,2,2,4,Ciudad 2000
Apartamento,240000000,34,1,1,4,Pasoancho
Apartamento,270000000,78,2,2,4,Villa del Sol
Apartamento,174000000,64,3,1,4,Urbanización Colseguros
Apartamento,345000000,82,3,2,5,San Fernando Viejo
Apartamento,280000000,60,3,2,4,Pasoancho
Apartamento,290000000,72,2,2,4,Chipichape
Apartamento,490000000,107,3,4,5,Nueva Tequendama
Apartamento,330000000,80,3,2,4,Lili
Apartamento,530000000,112,3,3,4,Villa del Sol
Apartamento,248000000,65,3,2,4,Olímpico
Apartamento,320000000,65,4,3,4,Olímpico
Apartamento,298000000,143,4,2,4,Unidad Residencial Santiago de Cali
Apartamento,325000000,101,3,3,5,Cuarto de Legua - Guadalupe
Apartamento,320000000,122,3,3,4,San Vicente
Apartamento,190000000,77,3,2,4,Miraflores
Apartamento,290000000,70,3,2,4,Granada
Apartamento,500000000,139,4,3,5,El Ingenio
Apartamento,235000000,62,2,2,4,Villa del Sol
Apartamento,410000000,90,3,3,4,Barrio Departamental
Apartamento,400000000,72,3,2,5,Cuarto de Legua - Guadalupe
Apartamento,290000000,75,3,2,4,Urbanización La Merced
Apartamento,345000000,83,4,2,4,Villa del Sol
Apartamento,205000000,60,3,2,5,Prados del Norte
Apartamento,350000000,112,4,2,5,Camino Real - Joaquín Borrero Sinisterra
Apartamento,395000000,160,4,4,5,Camino Real - Joaquín Borrero Sinisterra
Apartamento,410000000,109,4,3,4,Primero de Mayo
Apartamento,420000000,94,3,2,5,El Gran Limonar - Cataya
Apartamento,254000000,65,3,2,5,La Flora
Apartamento,225000000,53,2,2,5,Pampa Linda
Apartamento,219000000,62,3,2,5,Urbanización La Flora
Apartamento,530000000,142,4,4,4,El Refugio
Apartamento,670000000,110,3,2,6,Santa Teresita
Apartamento,310000000,88,3,2,4,Santa Isabel
Apartamento,315000000,75,3,2,6,Urbanización Río Lili
