Tipo,Precio,Área,Habitaciones,Baños,Estrato,Ubicación
Apartamento,250000000,91,3,2,5,El Lido
Apartamento,326532568,79,2,2,4,Bochalema
Apartamento,120000000,74,3,2,3,pso
Apartamento,291000000,67,2,2,5,La Flora
Apartamento,158000000,60,3,1,4,San Fernando
Apartamento,218000000,61,3,2,4,Kachipai
Apartamento,310000000,98,3,3,5,Cuarto De Legua
Apartamento,370000000,86,3,2,5,La Hacienda Sur
Apartamento,194000000,60,2,2,4,Valle Del Lili
Apartamento,295000000,66,3,2,4,San Fernando
Apartamento,285000000,86,2,2,5,Quintas De Don Simon
Apartamento,580000000,83,2,2,4,Chipichape
Apartamento,480000000,108,3,2,4,El Ingenio
Apartamento,580000000,133,4,3,5,Chipichape
Apartamento,630000000,118,3,3,6,Pance
Apartamento,460000000,66,2,2,5,Cristales
Apartamento,560000000,130,4,3,5,Seminario
Apartamento,470000000,86,3,3,4,Parcelaciones Pance
Apartamento,340000000,72,3,2,5,Mayapan
Apartamento,220000000,62,2,2,4,Prados Del Norte
Apartamento,220000000,62,2,2,4,Prados Del Norte
Apartamento,950000,35,1,1,4,Montebello
Apartamento,415000000,82,3,2,5,Ciudad Jard n
Apartamento,529000000,108,3,3,6,Menga
Apartamento,450000000,165,4,4,4,Cuarto De Legua
Apartamento,550000000,97,2,2,5,La Flora
Apartamento,510000000,89,2,2,5,La Flora
Apartamento,420000000,99,3,2,5,El Ingenio
Apartamento,210000000,47,1,2,5,Cuarto De Legua
Apartamento,550000000,150,4,3,4,San Fernando
Apartamento,169000000,58,3,2,3,Metropolitano Del Norte
Apartamento,320000000,92,3,2,5,Cuarto De Legua
Apartamento,490000000,62,1,2,6,Parcelaciones Pance
Apartamento,1300000000,400,4,6,6,Santa Monica
Apartamento,130000000,47,2,1,4,Ciudad Pacifica
Apartamento,970000000,51,4,4,4,Cra Oe Normandia Sebastian De Belalcazar Colombia Santa Teresita
Apartamento,530000000,116,3,3,5,Cristales
Apartamento,685000000,155,3,4,5,La Flora
Apartamento,1200000000,186,3,5,6,San Fernando
Apartamento,2600000000,600,5,6,6,San Fernando
Apartamento,1394000000,195,3,4,6,San Fernando
Apartamento,1150000000,245,3,3,6,San Fernando
Apartamento,849500000,171,3,3,6,San Fernando
Apartamento,1701487000,240,3,4,6,San Fernando
Apartamento,725000000,119,2,2,4,La Arboleda
Apartamento,325000000,75,3,2,4,Valle Del Lili
Apartamento,2500000000,442,4,6,6,San Fernando
Apartamento,990000000,130,4,5,4,Cra No Brisas Del Pance Colombia Pance
Apartamento,1500000000,276,4,4,6,Altos De Normandia
Apartamento,1400000000,325,4,6,6,San Fernando
Apartamento,660000000,119,4,3,4,Cl Las Vegas Colombia Las Vegas
Apartamento,2500000000,377,4,4,6,Santa Teresita
Apartamento,570000000,62,1,2,5,Juanamb
Apartamento,380000000,84,3,2,5,Valle Del Lili
Apartamento,252000000,63,3,2,4,Cl Comuna Colombia Valle Del Lili
