Inmueble,Precio,Área total,Habitaciones,Baños,Estrato,Ubicación
Casa,3.500.000.000,1.068 m² cubiertos,7 habitaciones,9 baños,,"Cali, Valle Del Cauca"
Casa,6.000.000.000,485 m² cubiertos,3 habitaciones,4 baños,6,"Cali, Valle Del Cauca"
Casa,2.200.000.000,388 m² cubiertos,4 habitaciones,3 baños,5,"Cali, Valle Del Cauca"
Casa,1.800.000.000,421 m² cubiertos,3 habitaciones,6 baños,5,"Cali, Valle Del Cauca"
Casa,5.600.000.000,720 m² cubiertos,4 habitaciones,6 baños,,"Cali, Valle Del Cauca"
Casa,1.500.000.000,200 m² cubiertos,3 habitaciones,4 baños,,"Cali, Valle Del Cauca"
Casa,270.000.000,210 m² cubiertos,2 habitaciones,3 baños,3,"Ciudad Córdoba, Cali, Valle Del Cauca"
Casa,470.000.000,130 m² cubiertos,4 habitaciones,2 baños,,"Cra. 45 #10-42, Panamericano, Cali, Valle Del Cauca, Colombia, Panamericano, Cali, Valle Del Cauca"
Casa,1.450.000.000,332 m² cubiertos,3 habitaciones,5 baños,,"CALLE 3 # 125 BIS 50, Ciudad Jardín, Cali, Valle Del Cauca"
Casa,590.000.000,210 m² cubiertos,3 habitaciones,2 baños,,"Cali, Valle Del Cauca"
Casa,999.000.000,250 m² cubiertos,4 habitaciones,5 baños,,"Cl. 20 #116-105, Cañasgordas, Cali, Valle Del Cauca, Colombia, Pance, Cali, Valle Del Cauca"
Casa,428.600.000,90 m² cubiertos,3 habitaciones,3 baños,,"Cra 122 # 5-4, Cali, Valle Del Cauca"
Casa,833.000.000,400 m² cubiertos,4 habitaciones,5 baños,,"El Ingenio III, El Ingenio, Cali, Valle Del Cauca, Colombia, El Ingenio, Cali, Valle Del Cauca"
Casa,210.000.000,80 m² cubiertos,3 habitaciones,1 baño,,"Cl. 60c #3-1, Comuna 5, Cali, Valle Del Cauca, Colombia, Villa Del Prado, Cali, Valle Del Cauca"
Casa,600.000.000,360 m² cubiertos,6 habitaciones,4 baños,4,"Ciudad 2000, Cali, Valle Del Cauca"
Casa,250.000.000,140 m² cubiertos,4 habitaciones,2 baños,,"San Carlos, Cali, Valle Del Cauca"
Casa,149.900.000,120 m² cubiertos,3 habitaciones,2 baños,,"Cra. 41a #56-63, El Vallado, Cali, Valle Del Cauca, Colombia, El Vallado, Cali, Valle Del Cauca"
Casa,335.000.000,91 m² cubiertos,2 habitaciones,2 baños,4,"Ciudad Country, Cali, Valle Del Cauca"
Casa,190.000.000,97 m² cubiertos,3 habitaciones,2 baños,,"Cra. 9 Nte. #71h Norte-78, COMUNA 6, Cali, Valle Del Cauca, Colombia, Los Guaduales, Cali, Valle Del Cauca"
Casa,580.000.000,140 m² cubiertos,3 habitaciones,2 baños,,"Cali, Valle Del Cauca"
Casa,2.000.000.000,446 m² cubiertos,3 habitaciones,4 baños,6,"Pance, Cali, Valle Del Cauca"
Casa,450.000.000,159 m² cubiertos,2 habitaciones,4 baños,2,"Nueva Floresta, Cali, Valle Del Cauca"
Casa,450.000.000,180 m² cubiertos,4 habitaciones,5 baños,,"El Poblado 2, Cali, Valle Del Cauca"
Casa,860.000.000,348 m² cubiertos,5 habitaciones,7 baños,4,"Valle Del Lili, Cali, Valle Del Cauca"
Casa,250.000.000,84 m² cubiertos,3 habitaciones,2 baños,3,"Nueva Base, Cali, Valle Del Cauca"
Casa,270.000.000,116 m² cubiertos,4 habitaciones,2 baños,,"Ciudad Córdoba, Cali, Valle Del Cauca"
Casa,1.800.000.000,1.581 m² cubiertos,5 habitaciones,6 baños,6,"Ciudad Jardín, Cali, Valle Del Cauca"
Casa,249.000.000,145 m² cubiertos,6 habitaciones,3 baños,,"Calle 73 Norte #8 Norte-87, Floralia, Cali, Valle Del Cauca"
Casa,550.000.000,380 m² cubiertos,6 habitaciones,4 baños,,"Colseguros, Cali, Valle Del Cauca"
Casa,280.000.000,85 m² cubiertos,4 habitaciones,3 baños,4,"Cañaveralejo, Cali, Valle Del Cauca"
Casa,750.000.000,350 m² cubiertos,4 habitaciones,5 baños,5,"Prados Del Norte, Cali, Valle Del Cauca"
Casa,380.000.000,180 m² cubiertos,8 habitaciones,4 baños,3,"Nueva Floresta, Cali, Valle Del Cauca"
Casa,2.200.000.000,500 m² cubiertos,6 habitaciones,8 baños,,"Lago Calima, Calima (El Darien), Valle Del Cauca"
Casa,260.000.000,132 m² cubiertos,4 habitaciones,3 baños,3,"El Guabal, Cali, Valle Del Cauca"
