Tipo,Precio,Área,Habitaciones,Baños,Estrato,Ubicación
Casa,420000000,170,6,2,5,Cañaveralejo - Seguros Patria
Casa,830000000,370,4,4,5,Versalles
Casa,1650000000,280,4,5,5,Ciudad Capri
Casa,730000000,256,4,4,5,Prados del Norte
Casa,750000000,340,4,5,5,Nueva Tequendama
Casa,540000000,256,4,2,5,El Bosque
Casa,480000000,100,3,3,5,El Peñón
Casa,390000000,158,4,1,5,Urbanización San Joaquin
Casa,889000000,300,3,3,5,Juanambú
Casa,350000000,125,4,2,5,El Ingenio
Casa,470000000,400,7,5,5,Versalles
Casa,780000000,150,4,3,5,Ciudadela Pasoancho
Casa,349000000,153,4,1,5,Sector Cañaveralejo Guadalupe
Casa,489900000,230,9,6,5,Juanambú
Casa,1850000000,822,6,6,5,Versalles
Casa,320000000,112,4,2,5,El Lido
Casa,329900000,100,3,3,5,Urbanización San Joaquin
Casa,2200000000,500,3,2,6,Urbanización Ciudad Jardín
Casa,415000000,225,9,3,5,Cuarto de Legua - Guadalupe
Casa,370000000,149,5,2,5,Camino Real - Joaquín Borrero Sinisterra
Casa,494000000,124,4,4,4,Ciudad 2000
Casa,1390000000,600,4,5,5,Nueva Tequendama
Casa,1400000000,600,8,9,4,Colseguros Andes
Casa,775000000,190,3,2,5,Versalles
Casa,310000000,100,3,1,5,Ciudadela Pasoancho
Casa,430000000,300,6,4,5,Cañaveralejo - Seguros Patria
Casa,430000000,91,3,3,5,Ciudad Capri
Casa,385000000,144,5,2,5,Urbanización Tequendama
Casa,585000000,165,5,1,5,San Fernando Viejo
Casa,309900000,178,3,1,5,Santa Anita - La Selva
Casa,980000000,250,5,4,5,El Ingenio
Casa,280000000,144,3,2,5,Urbanización La Flora
Casa,430000000,270,4,6,5,Los Portales - Nuevo Rey
Casa,1250000000,244,5,6,5,Ciudad Capri
Casa,1400000000,417,5,6,5,Centenario
Casa,400000000,170,6,3,5,Los Portales - Nuevo Rey
Casa,470000000,270,6,3,4,Urbanización Nueva Granada
Casa,420000000,96,3,3,5,Pampa Linda
Casa,390000000,140,8,4,5,Pampa Linda
Casa,320000000,150,6,3,5,Santa Mónica
Casa,945000000,305,10,2,5,Mayapan - Las Vegas
Casa,890000000,350,8,9,5,Sector Cañaveralejo Guadalupe
Casa,359164838,78,2,2,5,Camino Real - Los Fundadores
Casa,359624874,76,3,2,5,El Lido
Casa,355160414,79,4,2,5,Santa Anita - La Selva
Casa,1300000000,395,6,7,4,Prados del Limonar
Casa,440000000,350,5,5,4,3 de Julio
Casa,775000000,431,4,4,4,El Refugio
Casa,1100000000,400,4,3,4,La Flora
Casa,1020000000,200,4,2,5,Urbanización La Flora
Casa,1195000000,290,5,3,6,Santa Barbara
Casa,390000000,72,7,3,5,Urbanización San Joaquin
Casa,540000000,140,4,4,6,Ciudad Campestre
Casa,300000000,236,3,3,5,Los Portales - Nuevo Rey
Casa,450000000,300,7,4,4,Chipichape
Casa,450000000,230,7,3,4,La Campiña
Casa,390000000,110,5,2,5,Cuarto de Legua - Guadalupe
Casa,455000000,162,3,4,5,Santa Anita - La Selva
Casa,390000000,230,8,3,4,Miraflores
Casa,425000000,500,5,2,4,Granada
Casa,420000000,250,4,4,4,Ciudad 2000
Casa,475000000,398,11,5,5,San Vicente
Casa,350000000,180,2,2,5,Camino Real - Los Fundadores
Casa,250000000,150,4,2,5,Camino Real - Los Fundadores
Casa,320000000,280,8,5,4,Miraflores
Casa,1260000000,320,4,3,5,Ciudad Capri
Casa,780000000,260,3,4,5,Santa Rita
Casa,830000000,237,5,4,5,Santa Anita - La Selva
Casa,318000000,105,6,2,4,Miraflores
Casa,369900000,300,9,3,5,Camino Real - Joaquín Borrero Sinisterra
Casa,890000000,525,8,9,5,Santa Anita - La Selva
Casa,328000000,112,4,2,6,Cañaveral
Casa,430000000,300,12,4,5,Sector Cañaveralejo Guadalupe
Casa,580000000,400,7,5,4,Vipasa
Casa,277000000,140,3,1,5,Urbanización La Flora
Casa,263000000,120,4,3,4,Granada
Casa,300000000,90,3,2,5,Prados del Norte
Casa,480000000,300,10,7,5,Juanambú
Casa,550000000,250,4,3,4,Vipasa
Casa,1800000000,500,5,4,5,El Ingenio
Casa,360000000,115,3,2,4,Champagñat
Casa,365000000,180,6,3,5,El Gran Limonar
Casa,600000000,290,5,5,4,El Bosque
Casa,250000000,270,8,4,5,El Lido
Casa,575000000,172,4,3,5,Primavera
Casa,397000000,134,3,2,4,Barrio Departamental
Casa,580000000,384,12,6,5,El Ingenio
Casa,600000000,620,9,4,5,Urbanización San Joaquin
Casa,570000000,180,4,4,5,San Fernando Viejo
Casa,972000000,314,9,4,5,Santa Anita - La Selva
Casa,588000000,190,7,5,5,Juanambú
Casa,1500000000,320,9,2,5,Cuarto de Legua - Guadalupe
Casa,390000000,154,6,2,5,Santa Anita - La Selva
Casa,750000000,600,10,7,5,El Bosque
Casa,1500000000,580,8,7,5,El Ingenio
Casa,285000000,93,4,2,4,Barrio Eucarístico
Casa,450000000,225,7,4,5,Pampa Linda
Casa,390000000,450,8,5,5,Unicentro Cali
Casa,620000000,270,6,5,5,San Fernando Viejo
Casa,530000000,270,5,4,5,La Cascada
Casa,850000000,370,5,5,5,Ciudad Capri
Casa,910000000,280,5,5,5,Santa Isabel
Casa,1300000000,300,5,4,5,San Fernando Viejo
Casa,1900000000,290,5,7,5,Ciudad Capri
Casa,650000000,400,5,5,5,Camino Real - Joaquín Borrero Sinisterra
Casa,600000000,200,3,3,5,Pampa Linda
Casa,750000000,246,4,5,5,Ciudad Capri
Casa,960000000,330,5,4,5,San Fernando Viejo
Casa,750000000,215,4,5,5,Ciudad Capri
Casa,1182000000,816,4,4,4,Colseguros Andes
Casa,420000000,251,4,4,5,Sector Cañaveralejo Guadalupe
Casa,550000000,360,5,4,5,El Cedro
Casa,450000000,148,8,8,5,Mayapan - Las Vegas
Casa,460000000,130,3,3,4,El Refugio
Casa,415000000,144,3,3,5,Los Portales - Nuevo Rey
Casa,550000000,270,4,4,4,Caney
Casa,589000000,310,5,3,5,Prados del Norte
Casa,215000000,100,4,2,4,Villa del Sol
Casa,420000000,317,9,3,5,El Peñón
Casa,449000000,250,4,3,4,Miraflores
Casa,550000000,392,9,6,4,Barrio Departamental
Casa,520000000,180,4,3,5,San Fernando Viejo
Casa,379000000,147,3,2,4,Olímpico
Casa,500000000,131,4,3,5,Los Portales - Nuevo Rey
Casa,370000000,127,5,4,4,Caney
Casa,315000000,90,5,3,5,Las Quintas de Don Simón
Casa,495000000,230,4,3,5,Mayapan - Las Vegas
Casa,599000000,217,11,5,5,El Peñón
Casa,970000000,575,5,10,5,El Bosque
Casa,332794501,73,3,3,4,La Campiña
Casa,395000000,76,3,1,4,Lili
Casa,640000000,185,4,3,6,Cañaveral
Casa,420000000,128,3,3,5,Cañaveralejo - Seguros Patria
Casa,1800000000,316,3,5,5,El Lido
Casa,430000000,90,3,3,5,Prados del Limonar
Casa,370000000,110,5,4,5,El Bosque
Casa,770000000,142,4,3,5,La Cascada
Casa,570000000,332,7,2,5,San Vicente
